Label,minutes,anomaly_freq,subject
sync,0.18125,0,15
rowing,3.0004,0,15
carrying the box,0.32533300000000054,0,15
carrying the box,0.17738300000000073,0,15
bicycle,3.000567,0,15
drinking,0.2568999999999999,0,15
rest,3.000449999999999,0,15
Setting dinner,0.9316829999999996,0,15
Cleaning up,0.48570000000000135,0,15
walk,3.017116999999999,0,15
drinking,0.2450499999999991,0,15
carrying the box,0.17893299999999712,0,15
carrying the box,0.1697500000000005,0,15
typing,2.8776170000000008,0,15
Setting dinner,0.6572840000000006,0,15
Cleaning up,0.43696700000000277,0,15
laying,2.0004500000000007,0,15
rowing,3.000433999999995,0,15
carrying the box,0.16491700000000264,0,15
carrying the box,0.16523300000000773,0,15
bicycle,3.000399999999999,0,15
drinking,0.42386600000000385,0,15
rest,3.0004830000000027,0,15
Setting dinner,0.6491000000000042,1,15
Cleaning up,0.37085000000000434,0,15
walk,3.0004500000000007,0,15
drinking,0.1930500000000066,0,15
carrying the box,0.16213400000000178,1,15
carrying the box,0.19958300000000406,0,15
typing,2.661350000000006,0,15
Setting dinner,0.635117000000001,0,15
Cleaning up,0.47194999999999965,1,15
laying,2.0067159999999973,0,15
sync,0.21134999999999593,3,15
sync,0.29444999999999943,1,59
rowing,3.0004670000000004,1,59
carrying the box,0.1451329999999995,0,59
carrying the box,0.14948300000000003,0,59
bicycle,3.0004670000000004,0,59
drinking,0.2322500000000005,0,59
rest,3.000534000000002,0,59
Setting dinner,0.5669000000000004,0,59
Cleaning up,0.3090170000000043,0,59
walk,3.000517000000002,0,59
drinking,0.20254999999999868,0,59
carrying the box,0.13606699999999705,0,59
carrying the box,0.13291699999999906,0,59
typing,3.057533000000003,0,59
Setting dinner,0.39393300000000053,0,59
Cleaning up,0.24281699999999873,0,59
laying,2.000383000000003,0,59
rowing,3.000433000000001,0,59
carrying the box,0.12941700000000367,0,59
carrying the box,0.13528300000000115,0,59
bicycle,3.000433000000001,0,59
drinking,0.14976600000000673,0,59
rest,3.0004160000000013,0,59
Setting dinner,0.3883169999999936,0,59
Cleaning up,0.27111600000000635,0,59
walk,3.0004830000000027,0,59
drinking,0.1527330000000049,0,59
carrying the box,0.12898400000000265,0,59
carrying the box,0.1372999999999962,0,59
typing,2.9609669999999966,0,59
Setting dinner,0.38391700000000384,0,59
Cleaning up,0.2720329999999933,0,59
laying,2.000549999999997,0,59
sync,0.22843299999999545,1,59
sync,0.1819,1,274
rowing,3.0004839999999997,16,274
carrying the box,0.18678300000000014,2,274
carrying the box,0.18679999999999986,1,274
bicycle,3.000466000000001,18,274
drinking,0.1817499999999992,0,274
rest,3.0005000000000006,10,274
Setting dinner,0.08105000000000118,1,274
Cleaning up,0.36321599999999954,4,274
walk,3.0005500000000005,14,274
drinking,0.1916159999999998,1,274
carrying the box,0.16688299999999856,0,274
carrying the box,0.15901700000000218,0,274
typing,3.3270329999999966,11,274
Setting dinner,0.39289999999999736,3,274
Cleaning up,0.08911599999999709,1,274
laying,2.000316999999999,3,274
rowing,3.000433000000001,18,274
carrying the box,0.15641700000000114,2,274
carrying the box,0.15798300000000154,0,274
bicycle,3.0005000000000024,14,274
drinking,0.12655000000000172,1,274
rest,2.977767,7,274
Setting dinner,0.5470159999999993,4,274
Cleaning up,0.05033300000000196,1,274
walk,3.0005339999999947,16,274
drinking,0.11761699999999564,0,274
carrying the box,0.14911600000000647,0,274
carrying the box,0.159399999999998,0,274
typing,0.06961700000000093,1,274
Setting dinner,0.3109500000000054,4,274
Cleaning up,0.044400000000003104,0,274
laying,2.0013000000000005,4,274
sync,0.17096600000000706,2,274
sync,0.242617,9,292
rowing,3.0004329999999997,96,292
carrying the box,0.15914999999999946,4,292
carrying the box,0.15278299999999945,2,292
bicycle,3.0004999999999997,107,292
drinking,0.1647160000000003,3,292
rest,3.0003670000000007,11,292
