Label,minutes,anomaly_freq,subject
carrying the box,0.15531700000000015,0,503
typing,3.158482999999997,4,503
Setting dinner,0.3471499999999992,1,503
Cleaning up,0.2138329999999975,0,503
laying,2.0004670000000004,9,503
rowing,3.000499999999999,12,503
carrying the box,0.1461330000000025,1,503
carrying the box,0.14108300000000185,1,503
bicycle,3.000366999999997,4,503
drinking,0.5912999999999968,2,503
rest,3.000483999999993,6,503
Setting dinner,0.42336600000000857,1,503
Cleaning up,0.21880000000000166,1,503
walk,3.0009839999999954,23,503
drinking,0.294316000000002,1,503
carrying the box,0.12428399999999584,0,503
carrying the box,0.13681699999999353,0,503
typing,2.953116999999999,5,503
Setting dinner,0.4258000000000024,1,503
Cleaning up,0.3287329999999997,0,503
laying,2.000366999999997,9,503
sync,0.195450000000001,0,503
sync,0.2016,0,805
rowing,3.000467,0,805
carrying the box,0.19125000000000014,0,805
carrying the box,0.14946700000000046,0,805
bicycle,3.000400000000001,0,805
drinking,0.2071670000000001,0,805
rest,3.0004340000000003,0,805
Setting dinner,0.8630659999999981,0,805
Cleaning up,0.5280329999999989,0,805
walk,3.0034829999999975,0,805
drinking,0.17549999999999955,0,805
carrying the box,0.1667999999999985,0,805
carrying the box,0.15058299999999747,0,805
typing,3.3938999999999986,0,805
Setting dinner,0.4739670000000018,0,805
Cleaning up,0.36993299999999607,0,805
laying,2.000416999999999,0,805
rowing,3.000433000000001,0,805
carrying the box,0.15878299999999967,0,805
carrying the box,0.07284999999999897,0,805
bicycle,3.000333000000005,0,805
drinking,0.18650000000000233,1,805
rest,3.0004500000000007,0,805
Setting dinner,0.5049330000000012,0,805
Cleaning up,0.22101600000000587,0,805
walk,3.002049999999997,0,805
drinking,0.2178339999999963,0,805
carrying the box,0.18178300000000291,0,805
carrying the box,0.14418399999999565,0,805
typing,3.0509500000000003,0,805
Setting dinner,0.42711699999999553,0,805
Cleaning up,0.24226600000000076,0,805
laying,2.000466000000003,0,805
sync,0.18481699999999535,0,805
sync,0.2153,1,875
rowing,3.000434,0,875
carrying the box,0.17210000000000036,0,875
carrying the box,0.1572659999999999,0,875
bicycle,3.0005669999999993,0,875
drinking,0.20563300000000062,0,875
rest,3.0004329999999992,0,875
Setting dinner,0.5477330000000009,0,875
Cleaning up,0.37155000000000094,0,875
walk,3.000265999999998,0,875
drinking,0.17041700000000404,0,875
carrying the box,0.16050000000000253,0,875
carrying the box,0.18619999999999948,0,875
typing,1.9302170000000025,0,875
Setting dinner,0.5094829999999995,0,875
Cleaning up,0.4029500000000006,0,875
laying,2.000517000000002,0,875
rowing,3.0004339999999985,0,875
carrying the box,0.15643300000000337,0,875
carrying the box,0.15724999999999767,0,875
bicycle,3.000433000000001,0,875
drinking,0.1734000000000009,0,875
rest,3.000449999999997,0,875
Setting dinner,0.4939160000000058,0,875
Cleaning up,0.41201699999999164,0,875
walk,3.000550000000004,0,875
drinking,0.24314999999999998,0,875
carrying the box,0.1548000000000016,0,875
carrying the box,0.16868300000000147,0,875
typing,1.7252160000000032,0,875
Setting dinner,0.48980000000000246,0,875
Cleaning up,0.3506,0,875
laying,2.0004500000000007,0,875
sync,0.26011699999999394,0,875
