,TimeSync_min,act,bh,br,diff_bh,diff_ecglara,diff_ecgllla,diff_ecgllra,diff_ecgvx,ecglara,ecgllla,ecgllra,ecgvx,hr,logy,pred_label,subj,true_label,truehr,pred_id,true_id
0,29.167991999999998,rowing,1.0,7.2,3.866767164126429,-34.396383445281714,0.0,0.2980322567203473,-28.75138956759315,138.26315060940814,103.86676716412643,103.56873490740608,132.61815673171958,100.0,1.3524187998288086,2.0,015,2.0,103.86676716412643,1.0,1.0
1,29.184659000000003,rowing,1.0,7.2,1.9998268560744918,-9.811986479854966,0.0,0.009729152182202938,-14.36732186727913,112.81181333592946,102.99982685607449,102.99009770389229,117.36714872335362,101.0,0.6930606048496226,2.0,015,2.0,102.99982685607449,1.0,1.0
2,29.201325,rowing,1.0,7.5,-0.4503710200555133,0.8823864510949022,0.13454554514157735,0.0,-0.42248332782880027,100.66724252884958,101.41508343480291,101.54962897994449,101.97211230777329,102.0,-0.7976835469098766,2.0,015,2.0,101.54962897994449,1.0,1.0
3,29.217990999999998,rowing,1.0,7.5,1.1416395293433226,-21.89888455306165,0.0,0.14156638315944292,-0.4737199586033114,125.04052408240497,103.14163952934332,103.00007314618388,103.61535948794663,102.0,0.13246541284531232,2.0,015,2.0,103.14163952934332,1.0,1.0
4,29.234658000000003,rowing,1.0,7.8,0.9339643884782021,-8.666834615118475,0.14956686582205236,0.0,-0.2320393998750916,113.60079900359668,104.78439752265615,104.9339643884782,105.1660037883533,104.0,-0.06831696944784761,2.0,015,2.0,104.9339643884782,1.0,1.0
5,29.251324,rowing,1.0,7.8,0.3281324600492468,-0.4822835940969554,0.0,-0.00019712951335293383,0.3904380069736675,106.8104160541462,106.32813246004925,106.3283295895626,105.93769445307558,106.0,-1.1143379105065132,2.0,015,2.0,106.32813246004925,1.0,1.0
6,29.26799,rowing,1.0,8.2,0.9990500974505494,0.002957831540470579,17.97223771421676,-0.16563856626569873,0.0,108.99609226591008,91.02681238323379,109.16468866371625,108.99905009745055,108.0,-0.0009503539927847494,2.0,015,2.0,108.99905009745055,1.0,1.0
7,29.284657,rowing,1.0,8.2,3.830920858115036,-3.3057533820253866,20.80986990283705,2.3314208710890796,0.0,116.13667424014042,92.02105095527799,110.49949998702596,112.83092085811504,109.0,1.343105207221398,2.0,015,2.0,112.83092085811504,1.0,1.0
8,29.301322999999996,rowing,1.0,8.6,1.5149469121736274,-8.482624864109937,0.3500254230017532,0.0,-0.8199993753617463,119.99757177628356,111.16492148917187,111.51494691217363,112.33494628753537,110.0,0.415380396877813,2.0,015,2.0,111.51494691217363,1.0,1.0
9,29.31799,rowing,1.0,8.6,-0.32592142971272153,6.790317052922731,-0.3500254230017532,0.0,1.658773903161304,104.88376151736455,112.02410399328903,111.67407857028728,110.01530466712597,112.0,-1.1210989398149274,2.0,015,2.0,111.67407857028728,1.0,1.0
10,29.334656,rowing,1.0,9.0,-0.11680108193232286,-7.224258888662888,0.0,0.1750127115008837,0.0,120.10745780673057,112.88319891806768,112.7081862065668,112.88319891806768,113.0,-2.1472829455117104,2.0,015,2.0,112.88319891806768,1.0,1.0
11,29.351321999999996,rowing,1.0,9.0,0.5363847374787838,-17.309265367132383,0.34681418058890756,-0.17180146908800964,0.0,129.84565010461117,112.18957055688988,112.7081862065668,112.53638473747878,112.0,-0.6229035815983968,2.0,015,2.0,112.53638473747878,2.0,2.0
12,29.367989,rowing,1.0,9.5,0.014557845388992519,-22.526819241532053,0.0,-0.3436029381760477,9.141417382915847,134.54137708692105,112.01455784538899,112.35816078356504,102.87314046247315,112.0,-4.229625228689183,2.0,015,2.0,112.01455784538899,2.0,2.0
13,29.384655,rowing,1.0,9.5,1.0305297829954583,-12.85506629648198,0.0,0.17831483813297666,14.47926838228122,124.88559607947744,112.03052978299546,111.85221494486248,97.55126140071424,111.0,0.030073022430453282,2.0,015,2.0,112.03052978299546,2.0,2.0
14,29.401321000000003,rowing,1.0,10.3,-0.4850530878263726,-8.671691453452638,-0.1971540128225655,0.0,6.504691925195544,120.18663836562627,111.7121009249962,111.51494691217363,105.01025498697808,112.0,-0.723496934599081,2.0,015,2.0,111.51494691217363,2.0,2.0
15,29.417988,rowing,1.0,10.3,-0.15090871821183782,2.8782185176048927,-0.17796437191034897,0.0,2.241911557127594,108.97087276418327,112.02705565369851,111.84909128178816,109.60717972466057,112.0,-1.891080140113561,2.0,015,2.0,111.84909128178816,2.0,2.0
16,29.434654,rowing,1.0,10.9,0.7681688554683461,-0.18171131124027795,0.0,0.0,0.0,113.94988016670862,113.76816885546835,113.76816885546835,113.76816885546835,113.0,-0.2637457061099124,2.0,015,2.0,113.76816885546835,2.0,2.0
17,29.451320000000003,rowing,1.0,10.9,1.208465774622283,-0.865764974322019,0.0,-0.37041151906669256,0.0,116.0742307489443,115.20846577462228,115.57887729368898,115.20846577462228,114.0,0.1893516002161241,2.0,015,2.0,115.20846577462228,2.0,2.0
18,29.467987,rowing,1.0,11.7,0.9422999161695031,-16.545131617253986,0.0034944482930683307,0.0,-0.933428805816817,132.4874315334235,115.93880546787643,115.9422999161695,116.87572872198632,115.0,-0.059431672733132934,2.0,015,2.0,115.9422999161695,2.0,2.0
19,29.484653,rowing,1.0,11.7,-0.9666449120643676,-1.1012412644007696,0.0,0.18840991097965798,-0.257876119329282,116.1345963523364,115.03335508793563,114.84494517695597,115.29123120726491,116.0,-0.03392405668991627,2.0,015,2.0,115.03335508793563,2.0,2.0
